,id,year,title,ref,author
42,@articleHaenssle2018ManAM,2018,Man against machine: diagnostic performance of a deep learning convolutional neural network for dermoscopic melanoma recognition in comparison to 58 dermatologists,"Haenssle, H. et al. “Man against machine: diagnostic performance of a deep learning convolutional neural network for dermoscopic melanoma recognition in comparison to 58 dermatologists.” Annals of Oncology 29 (2018): 1836–1842.","['H. Haenssle', 'C. Fink', 'R. Schneiderbauer', 'F. Toberer', 'T. Buhl', 'A. Blum', 'A. Kalloo', 'A. Hassen', 'L. Thomas', 'A. Enk', 'L. Uhlmann']"
43,@articleFinlayson2018AdversarialAA,2018,Adversarial Attacks Against Medical Deep Learning Systems,"Finlayson, Samuel G. et al. “Adversarial Attacks Against Medical Deep Learning Systems.” ArXiv abs/1804.05296 (2018): n. pag.","['Samuel G. Finlayson', 'I. Kohane', 'Andrew Beam']"
44,@articleGu2015TowardsDN,2015,Towards Deep Neural Network Architectures Robust to Adversarial Examples,"Gu, Shixiang and Luca Rigazio. “Towards Deep Neural Network Architectures Robust to Adversarial Examples.” CoRR abs/1412.5068 (2015): n. pag.","['Shixiang Gu', 'Luca Rigazio']"
45,@articleCarlini2016DefensiveDI,2016,Defensive Distillation is Not Robust to Adversarial Examples,"Carlini, Nicholas and D. Wagner. “Defensive Distillation is Not Robust to Adversarial Examples.” ArXiv abs/1607.04311 (2016): n. pag.","['Nicholas Carlini', 'D. Wagner']"
46,@articleKannan2018AdversarialLP,2018,Adversarial Logit Pairing,"Kannan, Harini et al. “Adversarial Logit Pairing.” ArXiv abs/1803.06373 (2018): n. pag.","['Harini Kannan', 'A. Kurakin', 'Ian J. Goodfellow']"
47,@articleLamb2018FortifiedNI,2018,Fortified Networks: Improving the Robustness of Deep Networks by Modeling the Manifold of Hidden Representations,"Lamb, Alex et al. “Fortified Networks: Improving the Robustness of Deep Networks by Modeling the Manifold of Hidden Representations.” ArXiv abs/1804.02485 (2018): n. pag.","['Alex Lamb', 'Jonathan Binas', 'Anirudh Goyal', 'Dmitriy Serdyuk', 'S', 'eep Subramanian', 'Ioannis Mitliagkas', 'Yoshua Bengio']"
48,@articleSchott2019TowardsTF,2019,Towards the first adversarially robust neural network model on MNIST,"Schott, Lukas et al. “Towards the first adversarially robust neural network model on MNIST.” arXiv: Computer Vision and Pattern Recognition (2019): n. pag.","['Lukas Schott', 'Jonas Rauber', 'M. Bethge', 'W. Brendel']"
49,@articleDubey2019DefenseAA,2019,Defense Against Adversarial Images Using Web-Scale Nearest-Neighbor Search,"Dubey, A. et al. “Defense Against Adversarial Images Using Web-Scale Nearest-Neighbor Search.” 2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) (2019): 8759-8768.","['A. Dubey', 'L. V. D. Maaten', 'Zeki Yalniz', 'Y. Li', 'D. Mahajan']"
50,@articleYang2019MENetTE,2019,ME-Net: Towards Effective Adversarial Robustness with Matrix Estimation,"Yang, Yuzhe et al. “ME-Net: Towards Effective Adversarial Robustness with Matrix Estimation.” ArXiv abs/1905.11971 (2019): n. pag.","['Yuzhe Yang', 'G. Zhang', 'D. Katabi', 'Zhi Xu']"
51,@articleMetzen2017OnDA,2017,On Detecting Adversarial Perturbations,"Metzen, J. H. et al. “On Detecting Adversarial Perturbations.” ArXiv abs/1702.04267 (2017): n. pag.","['J. H. Metzen', 'Tim Genewein', 'Volker Fischer', 'B. Bischoff']"
52,@articleGong2017AdversarialAC,2017,Adversarial and Clean Data Are Not Twins,"Gong, Zhitao et al. “Adversarial and Clean Data Are Not Twins.” ArXiv abs/1704.04960 (2017): n. pag.","['Zhitao Gong', 'Wenlu Wang', 'W. Ku']"
53,@articleHosseini2017BlockingTO,2017,Blocking Transferability of Adversarial Examples in Black-Box Learning Systems,"Hosseini, H. et al. “Blocking Transferability of Adversarial Examples in Black-Box Learning Systems.” ArXiv abs/1703.04318 (2017): n. pag.","['H. Hosseini', 'Yize Chen', 'S. Kannan', 'B. Zhang', 'R. Poovendran']"
54,@articleFeinman2017DetectingAS,2017,Detecting Adversarial Samples from Artifacts,"Feinman, Reuben et al. “Detecting Adversarial Samples from Artifacts.” ArXiv abs/1703.00410 (2017): n. pag.","['Reuben Feinman', 'Ryan R. Curtin', 'S. Shintre', 'Andrew B. Gardner']"
55,@articleXu2018FeatureSD,2018,Feature Squeezing: Detecting Adversarial Examples in Deep Neural Networks,"Xu, Weilin et al. “Feature Squeezing: Detecting Adversarial Examples in Deep Neural Networks.” ArXiv abs/1704.01155 (2018): n. pag.","['Weilin Xu', 'David Evans', 'Y. Qi']"
56,@articleShaham2018UnderstandingAT,2018,Understanding adversarial training: Increasing local stability of supervised models through robust optimization,"Shaham, Uri et al. “Understanding adversarial training: Increasing local stability of supervised models through robust optimization.” Neurocomputing 307 (2018): 195-204.","['Uri Shaham', 'Yutaro Yamada', 'Sah', 'N. Negahban']"
57,@articleEsfahani2018DatadrivenDR,2018,Data-driven distributionally robust optimization using the Wasserstein metric: performance guarantees and tractable reformulations,"Esfahani, Peyman Mohajerin and D. Kuhn. “Data-driven distributionally robust optimization using the Wasserstein metric: performance guarantees and tractable reformulations.” Mathematical Programming 171 (2018): 115-166.","['Peyman Mohajerin Esfahani', 'D. Kuhn']"
58,@articleTsipras2019RobustnessMB,2019,Robustness May Be at Odds with Accuracy,"Tsipras, D. et al. “Robustness May Be at Odds with Accuracy.” arXiv: Machine Learning (2019): n. pag.","['D. Tsipras', 'Shibani Santurkar', 'L. Engstrom', 'A. Turner', 'A. Madry']"
59,@articleEngstrom2019LearningPR,2019,Learning Perceptually-Aligned Representations via Adversarial Robustness,"Engstrom, L. et al. “Learning Perceptually-Aligned Representations via Adversarial Robustness.” ArXiv abs/1906.00945 (2019): n. pag.","['L. Engstrom', 'Andrew Ilyas', 'Shibani Santurkar', 'D. Tsipras', 'B. Tran', 'A. Madry']"
60,@articleTramr2019AdversarialTA,2019,Adversarial Training and Robustness for Multiple Perturbations,"Tramèr, Florian and D. Boneh. “Adversarial Training and Robustness for Multiple Perturbations.” ArXiv abs/1904.13000 (2019): n. pag.","['Florian Tram\\`er', 'D. Boneh']"
61,@articleKang2019TransferOA,2019,Transfer of Adversarial Robustness Between Perturbation Types,"Kang, Daniel et al. “Transfer of Adversarial Robustness Between Perturbation Types.” ArXiv abs/1905.01034 (2019): n. pag.","['Daniel Kang', 'Y. Sun', 'Tom Brown', 'Dan Hendrycks', 'J. Steinhardt']"
62,@articleDziugaite2016ASO,2016,A study of the effect of JPG compression on adversarial images,"Dziugaite, G. et al. “A study of the effect of JPG compression on adversarial images.” ArXiv abs/1608.00853 (2016): n. pag.","['G. Dziugaite', 'Zoubin Ghahramani', 'D. Roy']"
63,@inproceedingsKolter2018ProvableDA,2018,Provable defenses against adversarial examples via the convex outer adversarial polytope,"Kolter, J. Z. and E. Wong. “Provable defenses against adversarial examples via the convex outer adversarial polytope.” ICML (2018).","['J. Z. Kolter', 'E. Wong']"
64,@articleRaghunathan2018CertifiedDA,2018,Certified Defenses against Adversarial Examples,"Raghunathan, Aditi et al. “Certified Defenses against Adversarial Examples.” ArXiv abs/1801.09344 (2018): n. pag.","['Aditi Raghunathan', 'J. Steinhardt', 'Percy Liang']"
65,@inproceedingsVincent2008ExtractingAC,2008,Extracting and composing robust features with denoising autoencoders,"Vincent, Pascal et al. “Extracting and composing robust features with denoising autoencoders.” ICML '08 (2008).","['Pascal Vincent', 'H. Larochelle', 'Yoshua Bengio', 'Pierre-Antoine Manzagol']"
66,@articleCarlini2017AdversarialEA,2017,Adversarial Examples Are Not Easily Detected: Bypassing Ten Detection Methods,"Carlini, N. and D. Wagner. “Adversarial Examples Are Not Easily Detected: Bypassing Ten Detection Methods.” Proceedings of the 10th ACM Workshop on Artificial Intelligence and Security (2017): n. pag.","['N. Carlini', 'D. Wagner']"
67,@articleTramr2017TheSO,2017,The Space of Transferable Adversarial Examples,"Tramèr, Florian et al. “The Space of Transferable Adversarial Examples.” ArXiv abs/1704.03453 (2017): n. pag.","['Florian Tram\\`er', 'Nicolas Papernot', 'Ian J. Goodfellow', 'D. Boneh', 'P. McDaniel']"
68,@articleEtmann2019OnTC,2019,On the Connection Between Adversarial Robustness and Saliency Map Interpretability,"Etmann, Christian et al. “On the Connection Between Adversarial Robustness and Saliency Map Interpretability.” ArXiv abs/1905.04172 (2019): n. pag.","['Christian Etmann', 'S. Lunz', 'P. Maass', 'C. Sch\\""onlieb']"
69,@articleGeirhos2019ImageNettrainedCA,2019,ImageNet-trained CNNs are biased towards texture; increasing shape bias improves accuracy and robustness,"Geirhos, Robert et al. “ImageNet-trained CNNs are biased towards texture; increasing shape bias improves accuracy and robustness.” ArXiv abs/1811.12231 (2019): n. pag.","['Robert Geirhos', 'Patricia Rubisch', 'Claudio Michaelis', 'M. Bethge', 'F. Wichmann', 'W. Brendel']"
70,@articleCarlini2019OnEA,2019,On Evaluating Adversarial Robustness,"Carlini, Nicholas et al. “On Evaluating Adversarial Robustness.” ArXiv abs/1902.06705 (2019): n. pag.","['Nicholas Carlini', 'A. Athalye', 'Nicolas Papernot', 'W. Brendel', 'Jonas Rauber', 'D. Tsipras', 'Ian J. Goodfellow', 'A. Madry', 'A. Kurakin']"
71,@inproceedingsLiu2019BeyondPN,2019,Beyond Pixel Norm-Balls: Parametric Adversaries using an Analytically Differentiable Renderer,"Liu, Hsueh-Ti Derek et al. “Beyond Pixel Norm-Balls: Parametric Adversaries using an Analytically Differentiable Renderer.” ICLR (2019).","['Hsueh-Ti Derek Liu', 'Michael Tao', 'C. Li', 'Derek Nowrouzezahrai', 'Alec Jacobson']"
72,@articlePapernot2016DistillationAA,2016,Distillation as a Defense to Adversarial Perturbations Against Deep Neural Networks,"Papernot, Nicolas et al. “Distillation as a Defense to Adversarial Perturbations Against Deep Neural Networks.” 2016 IEEE Symposium on Security and Privacy (SP) (2016): 582-597.","['Nicolas Papernot', 'P. McDaniel', 'Xi Wu', 'S. Jha', 'A. Swami']"
73,@articleMa2018CharacterizingAS,2018,Characterizing Adversarial Subspaces Using Local Intrinsic Dimensionality,"Ma, Xingjun et al. “Characterizing Adversarial Subspaces Using Local Intrinsic Dimensionality.” ArXiv abs/1801.02613 (2018): n. pag.","['Xingjun Ma', 'Bo Li', 'Yisen Wang', 'S. Erfani', 'S. Wijewickrema', 'M. E. Houle', 'Grant Schoenebeck', 'D. Song', 'J. Bailey']"
74,@articleXie2018MitigatingAE,2018,Mitigating adversarial effects through randomization,"Xie, Cihang et al. “Mitigating adversarial effects through randomization.” ArXiv abs/1711.01991 (2018): n. pag.","['Cihang Xie', 'Jianyu Wang', 'Zhishuai Zhang', 'Zhou Ren', 'A. Yuille']"
75,@articleSong2018PixelDefendLG,2018,PixelDefend: Leveraging Generative Models to Understand and Defend against Adversarial Examples,"Song, Yang et al. “PixelDefend: Leveraging Generative Models to Understand and Defend against Adversarial Examples.” ArXiv abs/1710.10766 (2018): n. pag.","['Yang Song', 'Taesup Kim', 'Sebastian Nowozin', 'S. Ermon', 'Nate Kushman']"
76,@articleSharif2016AccessorizeTA,2016,Accessorize to a Crime: Real and Stealthy Attacks on State-of-the-Art Face Recognition,"Sharif, Mahmood et al. “Accessorize to a Crime: Real and Stealthy Attacks on State-of-the-Art Face Recognition.” Proceedings of the 2016 ACM SIGSAC Conference on Computer and Communications Security (2016): n. pag.","['Mahmood Sharif', 'Sruti Bhagavatula', 'L. Bauer', 'M. Reiter']"
78,@articleHochreiter1998TheVG,1998,The Vanishing Gradient Problem During Learning Recurrent Neural Nets and Problem Solutions,"Hochreiter, S.. “The Vanishing Gradient Problem During Learning Recurrent Neural Nets and Problem Solutions.” Int. J. Uncertain. Fuzziness Knowl. Based Syst. 6 (1998): 107-116.",['S. Hochreiter']
79,@articleRony2019DecouplingDA,2019,Decoupling Direction and Norm for Efficient Gradient-Based L2 Adversarial Attacks and Defenses,"Rony, Jérôme et al. “Decoupling Direction and Norm for Efficient Gradient-Based L2 Adversarial Attacks and Defenses.” 2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) (2019): 4317-4325.","[""J\\'er\\^ome Rony"", 'Luiz G. Hafemann', 'L. Oliveira', 'I. B. Ayed', 'R. Sabourin', 'Eric Granger']"
80,@articleEngstrom2018EvaluatingAU,2018,Evaluating and Understanding the Robustness of Adversarial Logit Pairing,"Engstrom, L. et al. “Evaluating and Understanding the Robustness of Adversarial Logit Pairing.” ArXiv abs/1807.10272 (2018): n. pag.","['L. Engstrom', 'Andrew Ilyas', 'A. Athalye']"
81,@articlePang2017RobustDL,2017,Robust Deep Learning via Reverse Cross-Entropy Training and Thresholding Test,"Pang, T. et al. “Robust Deep Learning via Reverse Cross-Entropy Training and Thresholding Test.” ArXiv abs/1706.00633 (2017): n. pag.","['T. Pang', 'Chao Du', 'J. Zhu']"
82,@articleHuang2015LearningWA,2015,Learning with a Strong Adversary,"Huang, Ruitong et al. “Learning with a Strong Adversary.” ArXiv abs/1511.03034 (2015): n. pag.","['Ruitong Huang', 'B. Xu', 'Dale Schuurmans', 'Csaba Szepesvari']"
83,@articleSabour2016AdversarialMO,2016,Adversarial Manipulation of Deep Representations,"Sabour, Sara et al. “Adversarial Manipulation of Deep Representations.” CoRR abs/1511.05122 (2016): n. pag.","['Sara Sabour', 'Yanshuai Cao', 'Fartash Faghri', 'David J. Fleet']"
0,@inproceedingsGoodfellow2009MeasuringII,2009,Measuring Invariances in Deep Networks,"Goodfellow, Ian J. et al. “Measuring Invariances in Deep Networks.” NIPS (2009).","['Ian J. Goodfellow ', ' Quoc V. Le ', ' Andrew M. Saxe ', ' H. Lee ', ' A. Ng']"
1,@inproceedingsErhan2009VisualizingHF,2009,Visualizing Higher-Layer Features of a Deep Network,"Erhan, D. et al. “Visualizing Higher-Layer Features of a Deep Network.” (2009).","['D. Erhan ', ' Yoshua Bengio ', ' Aaron C. Courville ', ' P. Vincent']"
2,@articleBengio2007LearningDA,2007,Learning Deep Architectures for AI,"Bengio, Yoshua. “Learning Deep Architectures for AI.” Found. Trends Mach. Learn. 2 (2007): 1-127.",['Yoshua Bengio']
