,0
99,BadNets: Identifying Vulnerabilities in the Machine Learning Model Supply Chain
100,NAG: Network for Adversary Generation
101,Towards Robust Deep Neural Networks with BANG
102,Adversarial Attacks Beyond the Image Space
103,A Unified Gradient Regularization Family for Adversarial Examples
104,Assessing Threat of Adversarial Examples on Deep Neural Networks
105,MatConvNet: Convolutional Neural Networks for MATLAB
106,A Closer Look at Memorization in Deep Networks
107,APE-GAN: Adversarial Perturbation Elimination with GAN
108,Contractive Auto-Encoders: Explicit Invariance During Feature Extraction
109,Art of Singular Vectors and Universal Adversarial Perturbations
110,Backpropagation Applied to Handwritten Zip Code Recognition
111,Differential Evolution: A Survey of the State-of-the-Art
112,Analysis of universal adversarial perturbations
113,Generative Adversarial Trainer: Defense to Adversarial Perturbations with GAN
114,Intriguing Properties of Adversarial Examples
115,DeepCloak: Masking Deep Neural Network Models for Robustness Against Adversarial Samples
116,A Learning and Masking Approach to Secure Learning
117,Improving the Robustness of Deep Neural Networks via Stability Training
118,Deep learning applications and challenges in big data analytics
119,Discovering Adversarial Examples with Momentum
120,Regularizing deep networks using efficient layerwise adversarial training
121,Can you fool AI with adversarial examples on a visual Turing test?
122,Robust Convolutional Neural Networks under Adversarial Noise
123,Extending Defensive Distillation
124,On the Limitation of Convolutional Neural Networks in Recognizing Negative Images
125,Geometric Robustness of Deep Networks: Analysis and Improvement
126,Adversarial Image Perturbation for Privacy Protection A Game Theory Perspective
127,Adversarial-Playground: A visualization suite showing how adversarial examples fool deep learning
128,Feature Squeezing Mitigates and Detects Carlini/Wagner Adversarial Examples
129,Comprehensive Approach to Modeling and Simulation of Photovoltaic Arrays
130,HyperNetworks with statistical filtering for defending adversarial examples
131,Are facial attributes adversarially robust?
132,Connectomic reconstruction of the inner plexiform layer in the mouse retina
133,Deep Neural Nets as a Method for Quantitative Structure-Activity Relationships
134,Digital selection and analogue amplification coexist in a cortex-inspired silicon circuit
135,Alleviating adversarial attacks via convolutional autoencoder
136,Manifold Regularized Deep Neural Networks using Adversarial Examples
137,JPEG-resistant Adversarial Images
138,Bounded activation functions for enhanced training stability of deep neural networks on visual pattern recognition problems
139,Generic Black-Box End-to-End Attack Against State of the Art API Call Based Malware Classifiers
140,Adversary Detection in Neural Networks via Persistent Homology
141,Vision-Based Traffic Sign Detection and Analysis for Intelligent Driver Assistance Systems: Perspectives and Survey
142,Practical Methods of Optimization
143,On the Robustness of Convolutional Neural Networks to Internal Architecture and Weight Perturbations
144,Improving generalization performance using double backpropagation
145,The human splicing code reveals new insights into the genetic determinants of disease
146,UPSET and ANGRI : Breaking High Performance Image Classifiers
147,Fooling Neural Networks in Face Attractiveness Evaluation: Adversarial Examples with High Attractiveness Score But Low Subjective Score
148,Soft biometric privacy: Retaining biometric utility of face images while perturbing gender
149,Dense Associative Memory for Pattern Recognition
150,Butterfly Effect: Bidirectional Control of Classification Performance by Small Additive Perturbation
151,An introduction to frames and Riesz bases
152,Mitigating fooling with competitive overcomplete output layer neural networks
153,The Higgs boson machine learning challenge
154,Online particle detection with Neural Networks based on topological calorimetry information
155,THERMOMETER ENCODING: ONE HOT WAY TO RESIST
156,Deep convolutional models improve predictions of macaque V1 responses to natural images
157,Managing Complex Networks: Strategies for the Public Sector
158,Mitigating Android Software Misuse Before It Happens
159,Self-Attention Generative Adversarial Networks
160,Scanning Electron Microscopy and X-Ray Microanalysis
161,Effect of Element on Porosity and Residual Stress Distribution of A7N01S-T5 Aluminum Alloy Welded Joints in High-Speed Trains
162,Adversarial Attacks on Face Detectors Using Neural Net Based Constrained Optimization
163,Robust Physical-World Attacks on Deep Learning Visual Classification
164,Fast R-CNN
165,DeepFace: Closing the Gap to Human-Level Performance in Face Verification
166,MobileNets: Efficient Convolutional Neural Networks for Mobile Vision Applications
167,The Pascal Visual Object Classes (VOC) Challenge
168,The PASCAL visual object classes challenge 2006 (VOC2006) results
169,Complete Replication of Hepatitis C Virus in Cell Culture
170,A Geologic Time Scale 2004: CONCEPTS AND METHODS
171,Clinical and immunological features of severe and moderate coronavirus disease 2019
172,"2016 IEEE Conference on Computer Vision and Pattern Recognition, CVPR 2016, Las Vegas, NV, USA, June 27-30, 2016"
173,Detection of the baryon acoustic peak in the large-scale correlation function of SDSS luminous red galaxies
174,YOLOv3: An Incremental Improvement
175,Metalation vs Nucleophilic Addition in the Reactions of N-Phenethylimides with Organolithium Reagents. Ready Access to Isoquinoline Derivatives via N-Acyliminium Ions and Parham-Type Cyclizations.
176,Nietzsche and Wagner
177,Distributed Statistical Machine Learning in Adversarial Settings: Byzantine Gradient Descent
178,Security Evaluation of Pattern Classifiers under Attack
179,AMC: AutoML for Model Compression and Acceleration on Mobile Devices
180,Random sampling with a reservoir
181,Net2Net: Accelerating Learning via Knowledge Transfer
182,Co-casting of Al and Al-foam
183,Directing students to profound open-book test preparation: The relationship between deep learning and open-book test time
184,Model compression
185,Man vs. computer: Benchmarking machine learning algorithms for traffic sign recognition
186,as a conference paper at ICLR 2018 O N THE CONVERGENCE OF A DAM AND B EYOND
187,An Analysis of Single-Layer Networks in Unsupervised Feature Learning
188,Improving neural networks by preventing co-adaptation of feature detectors
189,Stochastic Pooling for Regularization of Deep Convolutional Neural Networks
190,Practical Bayesian Optimization of Machine Learning Algorithms
191,Deep Boltzmann Machines
192,Improving Neural Networks with Dropout
193,Bagging predictors
194,Joint Training Deep Boltzmann Machines for Classification
195,Deep Convex Net: A Scalable Architecture for Speech Pattern Classification
196,Convolutional neural networks applied to house numbers digit classification
197,The Manifold Tangent Classifier
198,Reading Digits in Natural Images with Unsupervised Feature Learning
199,Learnable Pooling Regions for Image Classification
200,"Rank, Trace-Norm and Max-Norm"
201,On the piecewise analysis of networks of linear threshold neurons
202,"Deep, Big, Simple Neural Nets for Handwritten Digit Recognition"
203,A model of multiplicative neural responses in parietal cortex.
204,General constructive representations for continuous piecewise-linear functions
205,Face Recognition on Consumer Devices: Reflections on Replay Attacks
206,Exploiting Machine Learning to Subvert Your Spam Filter
207,Neural Machine Translation by Jointly Learning to Align and Translate
208,The clinical characteristics of coronary artery fistula anomalies in children and adults: A 24-year experience.
209,Workshop track-ICLR 2018 A SPECT-BASED Q UESTION G ENERATION
210,What Is Holding Back Convnets for Detection?
211,Manitest: Are classifiers really invariant?
212,Convolutional networks and applications in vision
213,Object Recognition with Gradient-Based Learning
214,Strategies for training large scale neural network language models
215,A Deep Learning Network Approach to ab initio Protein Secondary Structure Prediction
216,Deep autoencoder neural networks for gene ontology annotation predictions
217,CasADi: a software framework for nonlinear optimization and optimal control
218,Least-change secant update methods for undetermined systems
219,Development and validation of deep learning algorithms for scoliosis screening using back images
220,Referee consensus: a platform technology for nonlinear optimization
221,How transferable are features in deep neural networks?
222,A Fast Learning Algorithm for Deep Belief Nets
223,Exploring Strategies for Training Deep Neural Networks
224,Context-Dependent Pre-Trained Deep Neural Networks for Large-Vocabulary Speech Recognition
225,A unified architecture for natural language processing: deep neural networks with multitask learning
226,"Convolutional, Long Short-Term Memory, fully connected Deep Neural Networks"
227,Long short-term memory recurrent neural network architectures for large scale acoustic modeling
228,Deep Inside Convolutional Networks: Visualising Image Classification Models and Saliency Maps
229,Multi-column deep neural network for traffic sign classification
230,Network security - private communication in a public world
231,Evading network anomaly detection systems: formal reasoning and practical techniques
232,Fundamentals of computer security technology
233,Classification of MNIST Handwritten Digit Database using Neural Network
234,Scalable Handwritten Digit Recognition Application using Neural Network and Convolutional Neural Network On Heterogeneous Architecture
235,Understanding deep image representations by inverting them
236,Training Deep Convolutional Neural Networks to Play Go
237,Learning Deep Structured Models
238,The Virtues of Peer Pressure: A Simple Method for Discovering High-Value Mistakes
239,Deep Learners Benefit More from Out-of-Distribution Examples
240,Best practices for convolutional neural networks applied to visual document analysis
241,Image quality assessment: from error visibility to structural similarity
242,Parsing Natural Scenes and Natural Language with Recursive Neural Networks
243,Training Invariant Support Vector Machines using Selective Sampling
244,Fine-grained Recognition in the Noisy Wild: Sensitivity Analysis of Convolutional Neural Networks Approaches
245,Learning hierarchical invariant spatio-temporal features for action recognition with independent subspace analysis
246,Conditional Image Generation with PixelCNN Decoders
247,Semi-supervised Learning with Deep Generative Models
248,Deep Convolutional Inverse Graphics Network
249,"Learning to Generate Chairs, Tables and Cars with Convolutional Networks"
250,Variable Rate Image Compression with Recurrent Neural Networks
251,Video Pixel Networks
252,Bayesian Semisupervised Learning with Deep Generative Models
253,Perceptual Losses for Real-Time Style Transfer and Super-Resolution
254,Simple statistical gradient-following algorithms for connectionist reinforcement learning
255,Smart additive manufacturing empowered by a closed-loop machine learning algorithm
256,Inceptionism: Going Deeper into Neural Networks
257,R-FCN: Object Detection via Region-based Fully Convolutional Networks
258,DeepContour: A deep convolutional feature learned by positive-sharing loss for contour detection
259,"DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs"
260,DeCAF: A Deep Convolutional Activation Feature for Generic Visual Recognition
261,Holistically-Nested Edge Detection
262,Feature Pyramid Networks for Object Detection
263,CNN Features Off-the-Shelf: An Astounding Baseline for Recognition
264,Conditional Random Fields as Recurrent Neural Networks
265,Unsupervised learning of object semantic parts from internal states of CNNs by population encoding
266,Discovering Internal Representations from Object-CNNs Using Population Encoding
267,The Cityscapes Dataset for Semantic Urban Scene Understanding
268,TwinNet: A Double Sub-Network Framework for Detecting Universal Adversarial Perturbations
269,Simple Black-Box Adversarial Attacks on Deep Neural Networks
270,Evading Classifiers by Morphing in the Dark
271,A Rotation and a Translation Suffice: Fooling CNNs with Simple Transformations
272,A geometric perspective on   the robustness of deep networks
273,The Robustness of Deep Networks: A Geometrical Perspective
274,On the Suitability of Lp-Norms for Creating and Preventing Adversarial Examples
275,Classification regions of deep neural networks
276,Did you hear that? Adversarial Examples Against Automatic Speech Recognition
277,Understanding Neural Networks Through Deep Visualization
278,Understanding Intra-Class Knowledge Inside CNN
279,Novelty-organizing team of classifiers in noisy and dynamic environments
280,Noniterative Deep Learning: Incorporating Restricted Boltzmann Machine Into Multilayer Random Weight Neural Networks
281,Proceedings of the 2017 ACM on Asia Conference on Computer and Communications Security
282,Completely Derandomized Self-Adaptation in Evolution Strategies
283,ExSTraCS 2.0: description and evaluation of a scalable learning classifier system
284,Evolving Neural Networks through Augmenting Topologies
285,Compaction for Code Fragment Based Learning Classifier Systems
286,Spectrum-Diverse Neuroevolution With Unified Neural Models
287,Novelty-organizing team of classifiers - A team-individual multi-objective approach to reinforcement learning
288,Sequential sampling for noisy optimisation with CMA-ES
289,Reducing the Time Complexity of the Derandomized Evolution Strategy with Covariance Matrix Adaptation (CMA-ES)
290,Self organizing classifiers: first steps in structured evolutionary machine learning
291,General Subpopulation Framework and Taming the Conflict Inside Populations
292,Self organizing classifiers and niched fitness
293,Deriving and improving CMA-ES with information geometric trust regions
294,Adapting arbitrary normal mutation distributions in evolution strategies: the covariance matrix adaptation
295,An introduction to genetic algorithms
296,Self-Adapting Control Parameters in Differential Evolution: A Comparative Study on Numerical Benchmark Problems
297,Genetic reinforcement learning for neurocontrol problems
298,Self-adaptive differential evolution algorithm for numerical optimization
299,Evolution strategies – A comprehensive introduction
300,The CMA Evolution Strategy: A Comparing Review
301,"A conceptual comparison of the Cuckoo-search, particle swarm optimization, differential evolution and artificial bee colony algorithms"
302,Pattern Recognition and Machine Learning (Information Science and Statistics)
303,Differential Evolution – A Simple and Efficient Heuristic for global Optimization over Continuous Spaces
304,"Pattern Recognition and Machine Learning Pattern Recognition and Machine Learning . Christopher M. Bishop New York : Springer , 2006 . ISBN 0-38731073-8 . xx + 738 pp. \$74.95 ."
305,Minibatch Approximate Greatest Descent on CIFAR-10 Dataset
306,On the importance of initialization and momentum in deep learning
307,Identity Mappings in Deep Residual Networks
308,"Neural Network Ensembles, Cross Validation, and Active Learning"
309,Optimization and global minimization methods suitable for neural networks
310,Ensemble selection from libraries of models
311,Some methods of speeding up the convergence of iteration methods
312,Neural network with ensembles
313,Feature Cross-Substitution in Adversarial Classification
314,Scalable Optimization of Randomized Operational Decisions in Adversarial Classification Settings
315,Least Squares Generative Adversarial Networks
316,BEGAN: Boundary Equilibrium Generative Adversarial Networks
317,Image-to-Image Translation with Conditional Adversarial Networks
318,Generative Visual Manipulation on the Natural Image Manifold
319,Colorful Image Colorization
320,End-to-End Training of Deep Visuomotor Policies
321,Classification with a Reject Option using a Hinge Loss
322,Deep Neural Networks Segment Neuronal Membranes in Electron Microscopy Images
323,"2019 IEEE Symposium on Security and Privacy, SP 2019, San Francisco, CA, USA, May 19-23, 2019"
324,Winning the ICCV 2019 Learning to Drive Challenge
325,Morphophonemic and orthographic rules in a multi-dialectal morphological analyzer and generator for Arabic verbs
326,Pixel-Level Matching for Video Object Segmentation Using Convolutional Neural Networks
327,On the Robustness of the CVPR 2018 White-Box Adversarial Example Defenses
328,Hotel companies' environmental policies and practices: a content analysis of their web pages
329,Spatial Transformer Networks
330,Learning Deep Features for Discriminative Localization
331,Computer Vision - Algorithms and Applications
332,Transforming Auto-Encoders
333,View Synthesis by Appearance Flow
334,An Intuitive Justification and a Simplified Implementation of the MAP Decoder for Convolutional Codes
335,A stacking model using URL and HTML features for phishing webpage detection
336,XIII—The Development of the CIE 1976 (L* a* b*) Uniform Colour Space and Colour‐difference Formula
337,A theory of the learnable
338,Robust Adversarial Reinforcement Learning
339,Query-Efficient Black-box Adversarial Examples
340,Evolution Strategies as a Scalable Alternative to Reinforcement Learning
341,Pixel Recurrent Neural Networks
342,Mirror Natural Evolution Strategies
343,Multivariate stochastic approximation using a simultaneous perturbation gradient approximation
344,Empirical risk minimization for heavy-tailed losses
345,Piecewise Linear Neural Network verification: A comparative study
346,Global Random Optimization by Simultaneous Perturbation Stochastic Approximation
347,Interactive and interpretable machine learning models for human machine collaboration
348,Increasing the Interpretability of Recurrent Neural Networks Using Hidden Markov Models
349,Adversarial Machine Learning in Malware Detection: Arms Race between Evasion Attack and Defense
350,Understanding Neural Networks via Feature Visualization: A survey
351,Metric-based Curve Clustering and Feature Extraction in Flow Visualization
352,Nearly-tight VC-dimension and Pseudodimension Bounds for Piecewise Linear Neural Networks
353,Apprenticeship learning via inverse reinforcement learning
354,Continuous control with deep reinforcement learning
355,Benchmarking Deep Reinforcement Learning for Continuous Control
356,Trust Region Policy Optimization
357,OpenAI Gym
358,Semantic Image Segmentation via Deep Parsing Network
359,Theano: A Python framework for fast computation of mathematical expressions
360,Xception: Deep Learning with Depthwise Separable Convolutions
361,Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising
362,I and i
363,Matrix capsules with EM routing
364,Dynamic Routing Between Capsules
365,Unrolled Generative Adversarial Networks
366,Generative Moment Matching Networks
367,"How (not) to Train your Generative Model: Scheduled Sampling, Likelihood, Adversary?"
368,Training generative neural networks via Maximum Mean Discrepancy optimization
369,f-GAN: Training Generative Neural Samplers using Variational Divergence Minimization
370,Energy-based Generative Adversarial Network
371,Generative Models and Model Criticism via Optimized Maximum Mean Discrepancy
372,On the Quantitative Analysis of Decoder-Based Generative Models
373,Stochastic Optimization for Large-scale Optimal Transport
374,Wasserstein Training of Restricted Boltzmann Machines
375,Learning Deep Generative Models with Annealed Importance Sampling
376,A Kernel Two-Sample Test
377,Integral probability metrics and their generating classes of functions
378,Envelope Theorems for Arbitrary Choice Sets
379,Optimal Transport: Old and New
380,On the High-dimensional Power of Linear-time Kernel Two-Sample Testing under Mean-difference Alternatives
381,Concrete Representation of Abstract (M)-Spaces (A characterization of the Space of Continuous Functions)
382,Physical Adversarial Examples for Object Detectors
383,Note on Attacking Object Detectors with Adversarial Stickers
384,Microsoft COCO: Common Objects in Context
385,Rogue Signs: Deceiving Traffic Sign Recognition with Malicious Ads and Logos
386,Speed/Accuracy Trade-Offs for Modern Convolutional Object Detectors
387,Adversarial Examples that Fool Detectors
388,DARTS: Deceiving Autonomous Cars with Toxic Signs
389,U-Net: Convolutional Networks for Biomedical Image Segmentation
390,"No Bot Expects the DeepCAPTCHA! Introducing Immutable Adversarial Examples, With Applications to CAPTCHA Generation"
391,Generating Images with Perceptual Similarity Metrics based on Deep Networks
392,Semi-supervised Learning with Ladder Networks
393,Learning to generate images with perceptual similarity metrics
394,"Imperceptible, Robust, and Targeted Adversarial Examples for Automatic Speech Recognition"
395,Targeted Adversarial Examples for Black Box Audio Systems
396,Daedalus: Breaking Non-Maximum Suppression in Object Detection via Adversarial Examples
397,Robust Audio Adversarial Example for a Physical Attack
398,Universal Adversarial Training
399,Audio Adversarial Examples: Targeted Attacks on Speech-to-Text
400,Certified Adversarial Robustness via Randomized Smoothing
401,Plagiarism Detection in Programming Assignments Using Deep Features
402,Robust and Secure Image Fingerprinting Learned by Neural Network
403,TensorFlow: A system for large-scale machine learning
404,An Industrial Strength Audio Search Algorithm
405,A Field Guide to Forward-Backward Splitting with a FASTA Implementation
406,Real-Time Optical Music Recognition System for Dulcimer Musical Robot
407,Experimental research on the voltage distribution of tesla transformer's taper windings
408,The Dilemma of False Positives: Making Content ID Algorithms more Conducive to Fostering Innovative Fair Use in Music Creation
409,Through a different lens: a mother's day lament.
410,Results of the 2016 International Skin Imaging Collaboration International Symposium on Biomedical Imaging challenge: Comparison of the accuracy of computer algorithms to dermatologists for the diagnosis of melanoma from dermoscopic images
411,Computer-aided classification of melanocytic lesions using dermoscopic images.
412,Segmentation of Skin Lesions From Digital Images Using Joint Statistical Texture Distinctiveness
413,Is dermoscopy (epiluminescence microscopy) useful for the diagnosis of melanoma? Results of a meta-analysis using techniques adapted to the evaluation of diagnostic tests.
414,Comparative performance of 4 dermoscopic algorithms by nonexperts for the diagnosis of melanocytic lesions.
415,Computer-Aided Diagnosis of Melanoma Using Border- and Wavelet-Based Texture Analysis
416,Variables predicting change in benign melanocytic nevi undergoing short-term dermoscopic imaging.
417,Improving Dermoscopy Image Classification Using Color Constancy
418,Meta‐analysis of digital dermoscopy follow‐up of melanocytic skin lesions: a study on behalf of the International Dermoscopy Society
419,Assessment of the optimal interval for and sensitivity of short-term sequential digital dermoscopy monitoring for the diagnosis of melanoma.
420,"Pattern analysis, not simplified algorithms, is the most reliable method for teaching dermoscopy for melanoma diagnosis to residents in dermatology"
421,Short-term digital surface microscopic monitoring of atypical or changing melanocytic lesions.
422,In vivo epiluminescence microscopy of pigmented skin lesions. I. Pattern analysis of pigmented skin lesions.
423,Emerging trends in the epidemiology of melanoma
424,Dermoscopy compared with naked eye examination for the diagnosis of primary melanoma: a meta‐analysis of studies performed in a clinical setting
425,Impact of dermoscopy and short‐term sequential digital dermoscopy imaging for the management of pigmented lesions in primary care: a sequential intervention trial
426,To excise or not: impact of MelaFind on German dermatologists’ decisions to biopsy atypical lesions
427,Melanoma screening: focusing the public health journey.
428,Wild Patterns: Ten Years After the Rise of Adversarial Machine Learning
429,mixup: Beyond Empirical Risk Minimization
430,Generalizability vs. Robustness: Adversarial Examples for Medical Imaging
431,Adversarial Examples that Fool both Human and Computer Vision
432,CheXNet: Radiologist-Level Pneumonia Detection on Chest X-Rays with Deep Learning
433,Development and Validation of a Deep Learning Algorithm for Detection of Diabetic Retinopathy in Retinal Fundus Photographs.
434,Deep learning for healthcare decision making with EMRs
435,Diagnostic Assessment of Deep Learning Algorithms for Detection of Lymph Node Metastases in Women With Breast Cancer
436,Translating Artificial Intelligence Into Clinical Care.
437,A Dual Approach to Scalable Verification of Deep Networks
438,Detecting hip fractures with radiologist-level performance using deep neural networks
439,Deep learning approach for active classification of electrocardiogram signals
440,ChestX-Ray8: Hospital-Scale Chest X-Ray Database and Benchmarks on Weakly-Supervised Classification and Localization of Common Thorax Diseases
441,Adapting to Artificial Intelligence: Radiologists and Pathologists as Information Specialists.
442,Using imaging biomarkers to accelerate drug development and clinical trials.
443,Combating Health Care Fraud and Abuse: Conceptualization and Prototyping Study of a Blockchain Antifraud Framework
444,Fraud and Abuse in the Saudi Healthcare System: A Triangulation Analysis
445,Research and Development Spending to Bring a Single Cancer Drug to Market and Revenues After Approval
446,Tumor delineation: The weakest link in the search for accuracy in radiotherapy
447,Reported outcomes in major cardiovascular clinical trials funded by for-profit and not-for-profit organizations: 2000-2005.
448,Physician manipulation of reimbursement rules for patients: between a rock and a hard place.
449,Variability of target and normal structure delineation for breast cancer radiotherapy: an RTOG Multi-Institutional and Multiobserver Study.
450,Health Care Spending in the United States and Other High-Income Countries
451,Medicine's uncomfortable relationship with math: calculating positive predictive value.
452,3D Variation in delineation of head and neck organs at risk
453,"The road to ICD-10-CM/PCS implementation: forecasting the transition for providers, payers, and other healthcare organizations."
454,Overbilling vs. downcoding--the battle between physicians and insurers.
455,Metabolic syndrome: underrated or underdiagnosed?
456,Personal identification system based on vascular pattern of human retina
457,Personal identification on the basis of antemortem and postmortem radiographs.
458,Personal identification using periocular skin texture
459,World development indicators 1998 [CD-ROM
460,Heart disease and stroke statistics--2008 update: a report from the American Heart Association Statistics Committee and Stroke Statistics Subcommittee.
461,Corruption: medicine’s dirty open secret
462,"Medicare, Medicaid and CLIA programs; regulations implementing the Clinical Laboratory Improvement Amendments of 1988 (CLIA)--HCFA. Final rule with comment period."
463,"Principles of Chest X-ray Diagnosis by George Simon. Pp. 282. Published by Butterworths, London. £8."
464,Marginalized Denoising Auto-encoders for Nonlinear Representations
465,What regularized auto-encoders learn from the data-generating distribution
466,Higher Order Contractive Auto-Encoder
467,Recurrent Models of Visual Attention
468,PANDA: Pose Aligned Networks for Deep Attribute Modeling
469,Deep Learning using Support Vector Machines
470,Deep Learning using Linear Support Vector Machines
471,Avoiding pathologies in very deep networks
472,Deep Networks with Internal Selective Attention through Feedback Connections
473,Learning with Recursive Perceptual Representations
474,Distributed hierarchical processing in the primate cerebral cortex.
475,Recurrent excitation in neocortical circuits
476,CUDAMat: a CUDA-based matrix class for Python
477,Rapid developmental maturation of neocortical FS cell intrinsic excitability.
478,Creating artificial neural networks that generalize
479,The Reversible Residual Network: Backpropagation Without Storing Activations
480,Representation Learning: A Review and New Perspectives
481,Improving Generative Adversarial Networks with Denoising Feature Matching
482,Adversarial Generative Nets: Neural Network Attacks on State-of-the-Art Face Recognition
483,Better Mixing via Deep Representations
484,A3T: Adversarially Augmented Adversarial Training
485,Regularized Auto-Encoders Estimate Local Statistics
486,Deflecting Adversarial Attacks with Pixel Deflection
487,Adversarial examples from computational constraints
488,Safer Classification by Synthesis
489,VectorDefense: Vectorization as a Defense to Adversarial Examples
490,Black-box Adversarial Attacks with Limited Queries and Information
